keyword,cluster_id,silhoutte_score,avg_cos_sim_to_centroid,cos_sim_to_centroid,centroid_ratio
chairperson,31,-0.17,0.48,0.69,0.83
challenged,32,-0.17,0.52,0.59,0.90
challenges,19,-0.17,0.51,0.58,0.88
challenging,32,-0.17,0.52,0.55,0.98
challenging-time,23,-0.16,0.52,0.58,0.88
challenging-year,23,-0.16,0.52,0.57,0.91
chancellor,30,-0.13,0.56,0.56,0.98
change,26,-0.14,0.56,0.61,0.89
changi,38,-0.14,0.48,0.67,0.92
chaos,7,-0.19,0.45,0.63,0.97
chaotic,32,-0.17,0.52,0.63,0.91
chaotic-summer,39,-0.17,0.41,0.57,0.89
character,9,-0.15,0.55,0.60,0.94
characterize,26,-0.14,0.56,0.63,0.80
charles,31,-0.17,0.48,0.65,0.90
charles-de-gaulle,36,-0.10,0.57,0.57,0.96
charleston,38,-0.14,0.48,0.62,0.84
charlotte,38,-0.14,0.48,0.61,0.89
charter,2,-0.20,0.46,0.50,0.92
charter-airline,36,-0.10,0.57,0.69,0.82
chartered-flight,17,-0.17,0.48,0.60,0.97
chartered-plane,17,-0.17,0.48,0.54,0.95
charter-flight,17,-0.17,0.48,0.62,0.99
charter-operator,36,-0.10,0.57,0.62,0.86
charter-plane,17,-0.17,0.48,0.60,0.95
chase,34,-0.17,0.50,0.50,0.92
chat-box,18,-0.20,0.45,0.51,0.88
cheap-flight,17,-0.17,0.48,0.53,0.93
checked-baggage,17,-0.17,0.48,0.52,0.95
check-in,17,-0.17,0.48,0.54,0.95
check-in-desk,17,-0.17,0.48,0.50,0.97
checklist,18,-0.20,0.45,0.59,0.86
checkpoint,38,-0.14,0.48,0.50,0.97
chef,34,-0.17,0.50,0.57,0.93
chemical,35,-0.17,0.47,0.50,0.98
chemicals-industry,35,-0.17,0.47,0.50,0.98
chen,31,-0.17,0.48,0.52,0.85
cherry-point,38,-0.14,0.48,0.57,0.90
chief,31,-0.17,0.48,0.70,0.91
chief-executive,31,-0.17,0.48,0.57,0.91
chief-medical-officer,31,-0.17,0.48,0.62,0.86
chief-negotiator,30,-0.13,0.56,0.60,0.97
chief-operations-officer,31,-0.17,0.48,0.55,0.88
chief-pilot,31,-0.17,0.48,0.51,1.00
chihuahua,38,-0.14,0.48,0.51,0.91
child,9,-0.15,0.55,0.77,0.81
children,9,-0.15,0.55,0.56,0.90
chilling,16,-0.21,0.42,0.52,0.86
chinese,30,-0.13,0.56,0.71,0.81
chinese-aircraft,0,-0.11,0.56,0.55,0.92
chinese-airline,36,-0.10,0.57,0.54,0.92
chinese-carrier,36,-0.10,0.57,0.69,0.82
chinese-coronavirus,20,-0.14,0.55,0.61,0.86
chinese-counterpart,30,-0.13,0.56,0.56,0.91
chinese-embassy,30,-0.13,0.56,0.61,0.90
chinese-mainland,24,-0.16,0.46,0.54,0.93
chinese-national,5,-0.19,0.44,0.51,0.93
chinese-new-year,33,-0.03,0.67,0.81,0.70
chinese-premier,30,-0.13,0.56,0.57,0.94
chinese-president-xi-jinping,30,-0.13,0.56,0.70,0.86
chinese-side,30,-0.13,0.56,0.61,0.86
